Stock ID,8:00:00,8:01:00,8:02:00,8:03:00,8:04:00,8:05:00,8:06:00,8:07:00,8:08:00,8:09:00,8:10:00,8:11:00,8:12:00,8:13:00,8:14:00,8:15:00,8:16:00,8:17:00,8:18:00,8:19:00,8:20:00,8:21:00,8:22:00,8:23:00,8:24:00,8:25:00,8:26:00,8:27:00,8:28:00,8:29:00,8:30:00,8:31:00,8:32:00,8:33:00,8:34:00,8:35:00,8:36:00,8:37:00,8:38:00,8:39:00,8:40:00,8:41:00,8:42:00,8:43:00,8:44:00,8:45:00,8:46:00,8:47:00,8:48:00,8:49:00,8:50:00,8:51:00,8:52:00,8:53:00,8:54:00,8:55:00,8:56:00,8:57:00,8:58:00,8:59:00,9:00:00,9:01:00,9:02:00,9:03:00,9:04:00,9:05:00,9:06:00,9:07:00,9:08:00,9:09:00,9:10:00,9:11:00,9:12:00,9:13:00,9:14:00,9:15:00,9:16:00,9:17:00,9:18:00,9:19:00,9:20:00,9:21:00,9:22:00,9:23:00,9:24:00,9:25:00,9:26:00,9:27:00,9:28:00,9:29:00,.9 - <1.1 Ratio,>1.1 - <1.2 Ratio,1.2 - <1.35 Ratio,1.35 - <1.50 Ratio,1.5+ Ratio,.01 - .5 Price,.5 - 1 Price,1 - 2 Price,2 - 3 Price,3 - 5 Price,5 - 10 Price,10 - 14 Price,>14 Price,<1M Vol,1M - <3M Vol,3M - <5M Vol,5M - <10M Vol,10M - 20M Vol,>20M Vol,IsTuesday,IsWednesday,IsThursday,IsFriday,ActualOutcome
0,1.483636364,1.501818182,1.483090909,1.490363636,1.487272727,1.505454545,1.505454545,1.505672727,1.530909091,1.530545455,1.524181818,1.530909091,1.527272727,1.527272727,1.530363636,1.526727273,1.523636364,1.523636364,1.527272727,1.509090909,1.501818182,1.512727273,1.509636364,1.515818182,1.509090909,1.505454545,1.5052,1.509090909,1.512727273,1.512727273,1.516363636,1.519454545,1.519963636,1.516509091,1.516363636,1.523636364,1.520545455,1.523636364,1.526909091,1.52,1.52,1.527272727,1.523963636,1.534545455,1.538181818,1.527272727,1.530909091,1.523636364,1.523636364,1.524181818,1.52,1.52,1.520545455,1.523636364,1.523636364,1.530363636,1.526727273,1.527272727,1.523636364,1.524181818,1.527272727,1.526727273,1.526727273,1.526727273,1.524181818,1.524181818,1.523927273,1.520145455,1.523927273,1.530363636,1.527272727,1.527272727,1.523636364,1.526727273,1.523709091,1.526727273,1.526727273,1.52,1.52,1.52,1.523636364,1.52,1.523636364,1.5236,1.523636364,1.526727273,1.530363636,1.527272727,1.526727273,1.52,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1.3,1.316,1.312,1.304,1.296,1.296,1.304,1.304,1.304,1.304,1.3116,1.304,1.304,1.312,1.3,1.304,1.296,1.296,1.3,1.3,1.276,1.268,1.268,1.264,1.26,1.248,1.248,1.252,1.248,1.24404,1.248,1.25204,1.252,1.256,1.256,1.256,1.252,1.26,1.26,1.256,1.252,1.256,1.26,1.26,1.256,1.26,1.256,1.26,1.256,1.26,1.264,1.27196,1.2716,1.268,1.276,1.276,1.268,1.268,1.272,1.272,1.272,1.268,1.276,1.27596,1.276,1.272,1.256,1.236,1.228,1.232,1.228,1.232,1.232,1.236,1.24,1.232,1.224,1.208,1.208,1.204,1.208,1.204,1.18004,1.184,1.188,1.196,1.188,1.196,1.192,1.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016248865,1.016348774,1.014532243,1.014532243,1.014532243,1.014532243,1.014632153,1.017257039,1.017257039,1.016348774,1.014595822,1.016348774,1.016348774,1.016348774,1.017257039,1.015440509,1.023614896,1.017257039,1.019073569,1.019073569,1.016348774,1.023614896,1.023614896,1.029064487,1.039055404,1.032697548,1.030881017,1.030881017,1.030881017,1.025431426,1.017257039,1.028156222,1.028156222,1.026339691,1.028056312,1.035422343,1.035422343,1.035422343,1.035322434,1.030881017,1.030881017,1.030881017,1.027247956,1.034514078,1.034514078,1.0344505,1.030881017,1.035422343,1.034514078,1.036330609,1.035422343,1.045413261,1.046321526,1.053587648,1.055404178,1.045413261,1.028156222,1.029064487,1.011807448,1.008174387,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1.168163265,1.026938776,1.144489796,1.167346939,1.167346939,1.142857143,1.167346939,1.182857143,1.182857143,1.183673469,1.253877551,1.199183673,1.2,1.2,1.183673469,1.190204082,1.199183673,1.2,1.199183673,1.199183673,1.199183673,1.153469388,1.153469388,1.199183673,1.163265306,1.195918367,1.163265306,1.163265306,1.198367347,1.19755102,1.19755102,1.195918367,1.167346939,1.2,1.167346939,1.198367347,1.198367347,1.158367347,1.167346939,1.165714286,1.158367347,1.158367347,1.193469388,1.191020408,1.14122449,1.142040816,1.14122449,1.14122449,1.143673469,1.177142857,1.17877551,1.170612245,1.170612245,1.142857143,1.142857143,1.177142857,1.151836735,1.182857143,1.18122449,1.18122449,1.169795918,1.182857143,1.182857143,1.182857143,1.183673469,1.18122449,1.182857143,1.182857143,1.182857143,1.182857143,1.182857143,1.144489796,1.164081633,1.142857143,1.140408163,1.140408163,1.128979592,1.131428571,1.14122449,1.131428571,1.105306122,1.130612245,1.133877551,1.111836735,1.102040816,1.102040816,1.10122449,1.084897959,1.089795918,1.111020408,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,1.834042553,1.825531915,1.814893617,1.812765957,1.808510638,1.810638298,1.840425532,1.834042553,1.793617021,1.793617021,1.806382979,1.808510638,1.840425532,1.840425532,1.863829787,1.868085106,1.85106383,1.874468085,1.876595745,1.89787234,1.910638298,1.870212766,1.872340426,1.974468085,2.031914894,2.014893617,2.065957447,2.082978723,2.04893617,2.010638298,1.99787234,1.970212766,1.987234043,1.942553191,1.944680851,1.936170213,1.934042553,1.927659574,1.912765957,1.906382979,1.914893617,1.893617021,1.893617021,1.891489362,1.885106383,1.887234043,1.882978723,1.872340426,1.85106383,1.846808511,1.84893617,1.842553191,1.836170213,1.861702128,1.878723404,1.872340426,1.876595745,1.876617021,1.880851064,1.876595745,1.882957447,1.861702128,1.872340426,1.865957447,1.874468085,1.872340426,1.863829787,1.861702128,1.861702128,1.861702128,1.831914894,1.791489362,1.787234043,1.79787234,1.765957447,1.770212766,1.776595745,1.765957447,1.8,1.795744681,1.785106383,1.721276596,1.717021277,1.719148936,1.721276596,1.704255319,1.712765957,1.70212766,1.714893617,1.714893617,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5,1.576401274,1.703821656,1.789808917,1.824601911,1.904458599,2.152866242,2.085987261,2.007961783,2.022292994,1.979299363,1.96656051,2.017515924,1.988853503,2.040605096,2.038216561,2.041401274,2.020461783,2.036624204,2.006369427,1.964968153,1.96656051,1.987022293,1.974283439,1.97133758,1.993630573,1.977707006,1.966321656,1.948805732,1.950636943,1.925127389,1.934952229,1.906050955,1.910828025,1.888535032,1.918789809,1.904458599,2.015923567,2.038216561,2.011146497,1.97611465,1.96656051,1.920382166,1.939490446,1.936305732,1.918789809,1.923566879,1.908996815,1.912659236,1.909235669,1.902866242,1.856687898,1.902627389,1.880573248,1.875557325,1.866242038,1.899681529,1.867595541,1.843949045,1.839410828,1.853455414,1.854856688,1.855095541,1.854856688,1.835987261,1.823248408,1.831050955,1.812101911,1.811305732,1.786624204,1.807324841,1.813694268,1.813694268,1.813694268,1.785270701,1.765923567,1.770700637,1.767515924,1.765764331,1.746815287,1.757961783,1.76433121,1.775477707,1.797770701,1.799363057,1.794585987,1.780254777,1.78343949,1.780254777,1.775716561,1.780254777,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.32983683,1.313519814,1.316841492,1.317016317,1.315850816,1.313519814,1.314685315,1.316841492,1.31486014,1.314685315,1.317016317,1.316841492,1.316841492,1.317016317,1.315850816,1.314685315,1.317191142,1.317191142,1.317016317,1.318181818,1.320512821,1.321631702,1.321095571,1.324009324,1.324009324,1.323834499,1.321678322,1.320687646,1.320512821,1.318181818,1.321678322,1.321678322,1.321678322,1.321503497,1.320512821,1.321678322,1.320512821,1.321503497,1.320512821,1.320512821,1.320512821,1.321503497,1.319347319,1.320512821,1.319347319,1.319347319,1.319347319,1.3204662,1.319347319,1.319522145,1.320512821,1.320512821,1.31993007,1.319522145,1.320512821,1.31993007,1.320512821,1.320337995,1.319347319,1.321678322,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.112903226,1.217741935,1.217741935,1.435483871,1.435483871,1.527419355,1.493387097,1.612903226,1.483870968,1.629032258,1.935483871,1.903225806,2.258064516,2.209677419,2.274193548,2.306451613,2.306451613,2.306451613,2.35483871,2.499677419,2.709677419,2.629032258,2.467741935,2.387096774,2.403225806,2.338709677,2.532258065,2.419354839,2.467741935,2.387096774,2.467741935,2.403225806,2.419354839,2.290322581,2.177419355,2.192096774,2.289354839,2.209677419,2.225806452,2.112903226,2.14516129,2.016129032,2,2.064516129,2.016129032,1.903225806,1.935483871,1.919354839,2.032258065,2.064516129,2.129032258,2.064516129,2.14516129,2.096774194,2.080645161,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8,0.9605263158,0.9605263158,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9947368421,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9789473684,0.9605263158,1.078947368,1.089473684,1.105263158,1.157894737,1.136842105,1.292105263,1.236842105,1.278947368,1.273684211,1.257894737,1.223684211,1.236842105,1.2,1.160526316,1.184210526,1.178947368,1.15,1.152631579,1.194736842,1.197289474,1.147368421,1.152631579,1.128947368,1.115789474,1.15,1.123684211,1.139473684,1.15,1.144736842,1.15,1.123684211,1.160526316,1.144736842,1.15,1.160526316,1.144736842,1.157894737,1.257894737,1.239473684,1.426315789,1.536842105,1.5,1.5,1.526315789,1.497368421,1.507894737,1.4895,1.473684211,1.452631579,1.460526316,1.436842105,1.460526316,1.436842105,1.431578947,1.436842105,1.418421053,1.45,1.407894737,1.389473684,1.384210526,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.576470588,1.588235294,1.847058824,1.905882353,2.317647059,2.658823529,2.552941176,2.682352941,2.8,3.458823529,3.529411765,3.599411765,3.835294118,3.682352941,3.811764706,3.870588235,3.788235294,3.717647059,3.776470588,3.705882353,3.776117647,3.858823529,3.847058824,3.776470588,3.741176471,3.717647059,3.717647059,3.788235294,3.823529412,3.941176471,4.058823529,4.458823529,4.352941176,4.317647059,4.564705882,4.305882353,4.152941176,4.223529412,4.023529412,4.047058824,4.047058824,4.2,4.105882353,4.070588235,4.082352941,4.117647059,4.070588235,4.105882353,4.070588235,4.105882353,4.082352941,4.047058824,4.058823529,3.929411765,3.976470588,4.011764706,3.941176471,3.941176471,3.941176471,3.941176471,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
